user,VIP,dynamic,foucs,fans,district,listen_songs,acclaim,comment,time,content
全梨软,False,6,38,8,浙江省 - 温州市,2869,2,0,2020-06-17 16:44:53,初闻不知曲中意，再闻已是曲中人[多多难过]
下海摸泥鳅,False,0,3,3,浙江省 - 温州市,5605,5,0,2020-06-17 15:45:44,鲁迅说过，孙燕姿是他儿时的偶像
是叉叉哟,False,0,22,2,,6257,1,1,2020-06-17 11:40:49,但也有人说，句号意味着结束，亦如滑落眼角的泪
签不到选手,True,1,6,3,,2663,3,1,2020-06-17 00:25:44,很少发歌就“献给”家庭了吗？我周杰伦结了婚还很少发歌了呢。怕是见不得别人过得好
给我一只皮皮虾,False,0,25,8,,5264,0,0,2020-06-17 00:23:59,你应该不知道吧其实我有个小习惯就是每次不开心的时候打字都会连在一起没有标点
WeightXI,False,0,16,1,湖北省 - 武汉市,6284,0,1,2020-06-17 00:07:37,或许可以大胆的尝试一下，说出来了或许还有可能，不说则就是真的没有可能了。
怯-流年,False,0,4,1,广东省 - 广州市,1899,0,1,2020-06-16 23:59:47,喜欢，却不敢说出口
种下四叶草,False,1,3,0,北京市 ,800,2,0,2020-06-16 19:16:24,这首歌真的好听
逸潇绿竹,True,1081,216,29,,32968,0,1,2020-06-16 17:06:04,你这哈哈哈哈
吃粽子的小僵尸,False,0,12,1,江苏省 - 南京市,4290,0,1,2020-06-16 16:23:37,嗯，现在真的是很小的时候了[大哭]
废物咸鱼,False,2,29,4,山东省 - 济南市,8336,0,0,2020-06-16 13:48:38,。。。看成了男人的国度[呆]
思慕橙,False,0,19,3,广西 - 百色市,2849,2,0,2020-06-16 00:44:26,第一次听，循环一晚上，也哭了一晚上，无法入睡
思慕橙,False,0,19,3,广西 - 百色市,2849,0,1,2020-06-16 00:43:12,一直流眼泪，但是也不知道自己在伤心什么，总是会代入，幻想将
执拗的一枚戳屎,False,1,14,20,,4844,0,0,2020-06-15 23:56:31,晚安
imqling,False,10,4,2,广东省 - 江门市,1277,2,0,2020-06-15 21:57:55,原来已经快10年了，我的青春啊
axGhin_,True,4,112,27,,22689,0,0,2020-06-15 21:12:16,不能自拔，不懂退出
神经七八M,True,2,12,12,,1269,1,0,2020-06-15 20:44:22,穿过一地荒芜，幸福不能碰触
没有路西法的喵喵,True,67,133,23,,2455,0,0,2020-06-15 19:13:55,押韵的压得有点苦
游走的秋刀鱼,False,0,6,0,上海市 ,2511,0,1,2020-06-15 18:51:33,总结的很到位
zhouybryant,True,4,4,1,江苏省 - 扬州市,5708,0,0,2020-06-15 17:42:31,前面的“退不出去，又不敢向前迈进”很触动[心碎]
Iiissun,False,3,4,8,,1590,0,0,2020-06-15 16:37:23,我真的好想大哭一场…
冷血的低温动物,False,18,9,4,山西省 - 太原市,4162,2,0,2020-06-15 10:39:52,一个懒觉醒来，好像，突然间，都放下了。开心
王晚弋,False,7,2,2,甘肃省 - 庆阳市,5522,1,0,2020-06-15 08:42:22,退不出去，可又不敢向前迈进。
王晚弋,False,7,2,2,甘肃省 - 庆阳市,5522,3,0,2020-06-15 08:39:47,爱了不该爱的人，每天都在自欺欺人，像个小丑般的愚人演出。爱是自愚。
你彬彬彬彬哥,True,0,8,3,湖北省 - 武汉市,991,0,0,2020-06-15 07:24:33,因为这首歌来了网易云会员。
逗逗窦窦,True,73,62,44,天津市 ,3964,1,0,2020-06-15 01:32:17,“爱是愚人的国度，不能自拔，不懂退出。”
失眠191231,False,0,3,0,山东省 - 济南市,47,0,0,2020-06-14 18:15:26,是疲惫还是依赖的束缚。
HSINLOK,False,0,12,1,,3239,0,0,2020-06-14 16:49:19,这首歌每次听，酸楚失落的感觉就一直在心间荡
星池电台,True,5,13,24,北京市 ,6385,3,0,2020-06-14 02:07:56,“没有一个22岁的女孩像她一样唱歌。”熬了几个通宵做了一期孙燕姿的电台，为了情怀创作不易，也不知道去哪里推广，但愿这个评论喜欢孙燕姿的都能看得见吧，喜欢的话记得订阅点赞哦~
mankwanChu,False,309,16,11,,3155,0,0,2020-06-13 21:00:06,唉
所以我明白灯火阑珊处,False,1,22,4,广东省 - 深圳市,759,4,0,2020-06-13 18:00:08,燕姿嗓子里透出的坚韧 柔情 和爱到深处却仍然的高贵真的太赞了
所以我明白灯火阑珊处,False,1,22,4,广东省 - 深圳市,759,0,0,2020-06-13 17:55:00,爱是自愚愚人演出 答案清楚才能谢幕
凡是过去皆为序章an,False,14,17,5,四川省 - 成都市,646,10,0,2020-06-13 14:33:10,我太爱这个女人声音里的那种孤傲了。
橘子蓝___,False,1,10,3,江苏省 - 宿迁市,2454,0,0,2020-06-13 06:53:24,“爱是愚人的国度，不能自拔，不懂退出。”
Shavengu,True,0,0,6,,4069,0,0,2020-06-12 23:38:51,凡事不过一句算了，都能解决
是我小柒啊,False,3,2,1,江苏省 - 南通市,1589,3,0,2020-06-12 20:08:16,马上要高考了，这首歌是我哥哥给我第一个音乐听筒里的歌，他前几年车祸去世了，没有爱情，只有亲情，这首歌还是那么好听，一直都那么好听。
学长姓常,True,82,246,44,广东省 - 深圳市,8011,1,1,2020-06-12 17:21:58,他15年评论的
Onesteptoofar,False,7,24,5,贵州省 - 铜仁地区,1016,1,0,2020-06-12 15:39:27,2020年6月12日15：40
麻辣笋子-,True,0,10,1,,2973,2,0,2020-06-12 08:36:43,我对象的微信网名叫愚人的国度  已经有7年没变过   他说没有人爱他[心碎]
大艺术家的,False,0,10,2,浙江省 - 杭州市,922,0,0,2020-06-12 06:42:13,好
inexorable7,True,1,6,0,,4988,3,0,2020-06-12 03:05:48,曾美丽 但还是不满足
筽正,False,2,9,5,浙江省 - 丽水市,3415,2,0,2020-06-12 00:42:33,大一的时候他问我要不要在一起大二快结束了我问他等你结束现在这段感情能不能和我在一起试试
一只野兽阿-,False,0,0,12,河南省 - 郑州市,8107,1,0,2020-06-12 00:10:24,失无所失
左撇子笨蛋,True,268,304,41,,11399,0,0,2020-06-11 22:56:50,愚不愚不知道，辛苦是真辛苦
豪豪_7,False,19,26,11,江苏省 - 南京市,3876,2,0,2020-06-11 21:56:15,真好听
大艺术家的,False,0,10,2,浙江省 - 杭州市,922,0,0,2020-06-11 17:28:59,好
一只小熊yy,True,5,107,11,广东省 - 广州市,9426,1,0,2020-06-11 12:00:54,好好听
抬走抬走,False,2,9,7,,10252,1,1,2020-06-11 09:04:05,十年
寒羽良喵,True,0,8,1,陕西省 - 西安市,3454,0,0,2020-06-11 00:28:56,爱是愚人的国度
H-S_Sun,True,68,67,138,,14909,4,0,2020-06-10 15:00:59,但凡燕姿多营业…
十二樓情人,False,14,23,30,,3260,8,0,2020-06-10 09:05:34,关系不对等趁早放手 我没那么多勇气耗
nic岑先生,False,1,8,3,广东省 - 珠海市,5264,1,0,2020-06-10 01:44:01,又来评论了！我会等，也会如我所说的话让它成为事实！我现在是一个累赘！我不想亏欠别人太多太多。所以不得不这样做。宁可我负天下人，不可天下人负我
---zjk,False,0,5,1,新疆 - 乌鲁木齐市,3726,3,0,2020-06-10 01:34:33,小学听的，现在大学了，歌曲旋律一点没变，而我变成了什么样
i_am_zz,True,7,0,158,,45609,0,0,2020-06-10 01:25:34,ଲ
Mory-V,False,6,37,3,海外 - 瑞士,3518,0,0,2020-06-10 00:49:30,好好听好好听好好听
tuziguli,True,1,13,5,江苏省 - 南京市,7460,1,0,2020-06-10 00:40:56,20周年快乐[亲亲]
会做梦的豆子,False,51,29,11,湖北省 - 荆州市,3980,0,0,2020-06-10 00:29:25,很疑惑这歌评论竟然没有到9999？？
一头能通宵听歌也要早睡的子瓜鲸,True,295,17,734,海外 - 日本,21467,0,0,2020-06-10 00:22:48,好喜欢这首歌，极美也很好听，天黑黑也很喜欢～
sonmi-4511807,True,0,39,5,安徽省 - 安庆市,3875,0,0,2020-06-09 23:46:30,我超级喜欢这首啊啊啊啊啊啊啊
衣刀酱,False,7,14,24,宁夏 - 石嘴山市,9518,0,1,2020-06-09 23:21:44,九年了啊……
麋芜菁菁,True,130,16,5,,2721,2,0,2020-06-09 20:52:59,20周年快乐❤️❤️
Alien銆,False,12,49,6,上海市 ,26772,1,0,2020-06-09 20:26:01,今天燕姿微博直播！加油！爱你哟～[亲亲][亲亲][亲亲]
老子晓得啦,True,0,3,0,,415,0,1,2020-06-09 17:14:26,九年了，时间真快啊
Evildoer-Lx,False,1,20,8,新疆 - 昌吉回族自治州,14036,2,0,2020-06-09 14:24:09,出道20年啦～～[爱心]
