names
《烟火里的尘埃》<br/>
《好想爱这个世界啊 (Live)》<br/>
《国王与乞丐》<br/>
《齐天 - (电影《悟空传》主题曲)》<br/>
《异类》<br/>
《Here We Are  - (电影《使徒行者》主题曲)》<br/>
《斗牛 (Live)》<br/>
《我管你》<br/>
《寒鸦少年 - (电视剧《斗破苍穹》主题曲)》<br/>
《智商二五零 - (手游《王者荣耀》鲁班七号英雄主打歌)》<br/>
